"id","apelido","clube_id","posicao_id"
89258,"Daniel",262,1
68873,"Paulo Victor",262,1
79066,"Alex Muralha",262,1
91194,"Thiago",262,1
38109,"Jefferson",263,1
70222,"Sidão",263,1
89492,"Saulo",263,1
95694,"Victor Hugo",263,1
79973,"Helton Leite",263,1
93795,"Matheus Cabral",263,1
91808,"Caíque França",264,1
80286,"Matheus Vidotto",264,1
42234,"Cássio",264,1
78584,"Douglas Friedrich",264,1
51413,"Walter",264,1
49673,"Júlio César",266,1
92438,"Matheus Phillipe",266,1
38431,"Diego Cavalieri",266,1
85004,"Marcos Felipe ",266,1
38140,"Fernando Prass",275,1
72290,"Jailson",275,1
78151,"Vagner",275,1
85083,"Vinícius Silvestre",275,1
91260,"Lucas Perri",276,1
68932,"Renan Ribeiro",276,1
71043,"Leo",276,1
51175,"Denis",276,1
78839,"Gabriel Gasparotto",277,1
94044,"John Victor",277,1
62121,"Vanderlei",277,1
69040,"Vladimir",277,1
85425,"João Paulo",277,1
37659,"Lauro",282,1
68979,"Giovanni",282,1
52950,"Victor",282,1
93882,"Cleiton",282,1
85418,"Uilson",282,1
95118,"Thiago Henrique",282,1
68928,"Rafael",283,1
79048,"Elisson",283,1
93869,"Lucas França",283,1
94962,"Lucão",283,1
37656,"Fábio",283,1
96024,"Jonathan",283,1
37770,"Marcelo Grohe",284,1
87611,"Tiago",284,1
71818,"Bruno Grassi",284,1
95121,"Matheus Nogueira",284,1
87008,"Léo",284,1
90331,"Vitor",284,1
97138,"Dida",284,1
68872,"Marcelo Lomba",285,1
69051,"Danilo Fernandes",285,1
91710,"Jacsson",285,1
93834,"Keiller",285,1
69041,"Muriel",285,1
96468,"Daniel",285,1
71571,"Fernando Miguel",287,1
91101,"Ronaldo",287,1
92207,"Caíque",287,1
70216,"Gustavo",287,1
90892,"Wallace",287,1
88430,"Luiz Carlos ",292,1
94147,"Lucas Ferreira",292,1
71724,"Agenor",292,1
41218,"Magrão",292,1
71631,"Weverton",293,1
69012,"Santos",293,1
63082,"Rodolfo",293,1
86760,"Lucas Macanhan",293,1
91204,"Warleson",293,1
73336,"Rafael Martins",294,1
50284,"Wilson",294,1
93846,"Rafael Fachin",294,1
77556,"Bruno Brígido",294,1
72603,"William Menezes",294,1
88136,"Ivan",303,1
78086,"César",303,1
69010,"João Carlos",303,1
80394,"Matheus Inácio",303,1
37984,"Aranha",303,1
72488,"Follmann ",315,1
37788,"Marcelo Boeck",315,1
52897,"Nivaldo",315,1
82768,"Danilo",315,1
73414,"Thiago Rodrigues",316,1
88916,"Luan Polli ",316,1
88848,"Júnior Oliveira",316,1
74061,"Gatito Fernández",316,1
84266,"Alisson",316,1
81881,"João Ricardo",327,1
38350,"Fernando Leal",327,1
84555,"Glauco",327,1
78979,"Edson Kölln",344,1
37601,"Tiago Cardoso",344,1
94143,"Luiz Miller",344,1
97441,"Lukas Silva",344,1
95861,"Thiago Ennes",262,2
68711,"Chiquinho",262,2
88065,"Jorge",262,2
73992,"Rodinei",262,2
62086,"Pará",262,2
86629,"Arthur Henrique",262,2
70916,"Diogo Barbosa",263,2
91783,"Diego",263,2
86410,"Victor Luis",263,2
93797,"Marcinho",263,2
