"atleta_id","nome","apelido"
37770,"Marcelo Grohe","Marcelo Grohe"
36612,"José Roberto da Silva Júnior","Zé Roberto"
37306,"Gilson Kleina","Gilson Kleina"
37604,"Paulo André Cren Benini","Paulo André"
36540,"Juan Silveira dos Santos","Juan"
37718,"Marcos Arouca da Silva","Arouca"
37281,"Luis Antônio Venker de Menezes","Mano Menezes"
37798,"Rafael Augusto Sobis do Nascimento","Rafael Sobis"
37705,"Juan Maldonado Jaimez Júnior","Juan"
37792,"Edimo Ferreira Campos","Edinho"
37701,"Leonardo da Silva Moura","Léo Moura"
38196,"Maicon Thiago Pereira de Souza","Maicon"
37623,"Rafael Marques Pinto","Rafael Marques"
37607,"Michel Fernandes Bastos","Michel Bastos"
37608,"Cristian Mark Junio Nascimento Oliveira Baroni","Cristian"
38545,"Felipe Melo de Carvalho","Felipe Melo"
37644,"Rodrigo Baldasso da Costa","Rodrigo"
37646,"Ebert Willian Amâncio","Betão"
37645,"Marcelo Mendonça de Mattos Terra","Marcelo Mattos"
37657,"Eduardo Luís Abonizio de Souza","Edu Dracena"
37653,"Nilmar Honorato da Silva","Nilmar"
37694,"Henrique Pacheco de Lima","Henrique"
37656,"Fábio Deivson Lopes Maciel","Fábio"
37673,"Alecsandro Barbosa Felisbino","Alecsandro"
37655,"Rafael Martiniano de Miranda Moura","Rafael Moura"
38225,"Luiz Guilherme da Conceição Silva","Muriqui"
37840,"Gustavo Franchin Schiavolin","Gustavo"
37674,"Wagner Ferreira dos Santos","Wagner"
38246,"Robson de Souza","Robinho"
38311,"Márcio Rodrigues Araújo","Márcio Araújo"
38229,"Fábio Santos Romeu","Fábio Santos"
37662,"Jonathan Cícero Moreira","Jonathan"
37688,"Cícero Santos","Cícero"
38277,"Thiago Neves Augusto","Thiago Neves"
38394,"Thiago Heleno Henrique Ferreira","Thiago Heleno"
38287,"Roger Rodrigues da Silva","Roger"
38279,"Wellington Pereira do Nascimento","Wellington Paulista"
38315,"Jadson Rodrigues da Silva","Jadson"
38440,"Lucas Pierre Santos Oliveira","Pierre"
38425,"Fábio Ferreira da Silva","Fábio Ferreira"
38738,"Douglas dos Santos","Douglas"
38431,"Diego Cavalieri","Diego Cavalieri"
38530,"Cleiton Ribeiro Xavier","Cleiton Xavier"
38523,"Edílson Mendes Guimarães","Edílson"
38421,"Rafael da Silva Francisco","Rafinha"
41327,"Vanderlei Luxemburgo da Silva","Vanderlei Luxemburgo"
38508,"Eder Luis de Oliveira","Eder Luis"
38748,"Maicon Douglas Sisenando","Maicon"
38908,"Renato Dirnei Florêncio","Renato"
38928,"Alexandro Silva de Souza","Dudu Cearense"
38910,"Ricardo de Oliveira","Ricardo Oliveira"
38852,"Anderson Luís de Abreu Oliveira","Anderson"
38913,"Anderson Luiz de Carvalho","Nenê"
39572,"José Renato da Silva Júnior","Renato"
38957,"Rafael Marques Mariano","Rafael Marques"
38909,"Diego Ribas da Cunha","Diego"
40006,"Abel Carlos da Silva Braga","Abel Braga"
40179,"Kleber Giacomace de Souza Freitas","Kleber"
40025,"Levir Culpi","Levir Culpi"
39152,"Jonas Jessué da Silva Júnior","Jonas"
41218,"Alessandro Beti Rosa","Magrão"
42116,"Willian Gomes de Siqueira","Willian"
41363,"Alexandre Tadeu Gallo","Alexandre Gallo"
40990,"Dorival Silvestre Júnior","Dorival Júnior"
42222,"Osvaldo Lourenço Filho","Osvaldo"
41929,"Renato Portaluppi","Renato Gaúcho"
42213,"Fernando Paixão da Silva","Fernando Bob"
42140,"Felipe Augusto Santana","Felipe Santana"
42145,"Egídio de Araújo Pereira Júnior","Egídio"
